episode,reward,average_reward,epsilon,steps,loss
1,120.0,120.0,0.9995,575,0.0058
2,75.0,97.5,0.9990002500000001,877,0.0017
3,60.0,85.0,0.9985007498750001,1269,0.3005
4,270.0,131.25,0.9980014995000627,2052,0.1006
5,185.0,142.0,0.9975024987503127,2633,0.0433
6,305.0,169.16666666666666,0.9970037475009376,3317,0.8360
7,15.0,147.14285714285714,0.9965052456271871,3599,0.0119
8,45.0,134.375,0.9960069930043736,3900,0.0913
9,30.0,122.77777777777777,0.9955089895078715,4270,0.6990
10,180.0,128.5,0.9950112350131176,4757,0.0158
11,170.0,132.27272727272728,0.9945137293956111,5232,1.1770
12,65.0,126.66666666666667,0.9940164725309134,5699,0.0205
13,460.0,152.30769230769232,0.993519464294648,6443,0.0749
14,215.0,156.78571428571428,0.9930227045625007,7048,0.1915
15,55.0,150.0,0.9925261932102195,7315,0.9308
16,210.0,153.75,0.9920299301136144,8060,1.0828
17,55.0,147.94117647058823,0.9915339151485576,8516,0.8788
18,130.0,146.94444444444446,0.9910381481909833,8977,0.7567
19,165.0,147.89473684210526,0.990542629116888,9454,0.0157
20,210.0,151.0,0.9900473578023296,10082,0.0606
21,105.0,148.8095238095238,0.9895523341234285,10563,0.0718
22,160.0,149.3181818181818,0.9890575579563669,11251,0.1569
23,255.0,153.91304347826087,0.9885630291773887,12058,0.1772
24,135.0,153.125,0.9880687476628001,12570,0.6570
25,110.0,151.4,0.9875747132889687,12952,0.0594
26,100.0,149.42307692307693,0.9870809259323243,13585,1.1434
27,115.0,148.14814814814815,0.9865873854693582,14016,0.2090
28,420.0,157.85714285714286,0.9860940917766235,14727,0.1622
29,455.0,168.10344827586206,0.9856010447307353,15751,1.5340
30,210.0,169.5,0.98510824420837,16299,0.5139
31,75.0,166.4516129032258,0.9846156900862658,16711,0.0450
32,80.0,163.75,0.9841233822412228,17066,0.1584
33,70.0,160.9090909090909,0.9836313205501022,17355,0.5374
34,185.0,161.61764705882354,0.9831395048898272,17860,0.8343
35,440.0,169.57142857142858,0.9826479351373822,18737,0.0910
36,155.0,169.16666666666666,0.9821566111698136,19430,0.4592
37,175.0,169.32432432432432,0.9816655328642288,20099,0.1787
38,345.0,173.94736842105263,0.9811747000977967,21051,0.9982
39,105.0,172.17948717948718,0.9806841127477479,21535,0.1350
40,135.0,171.25,0.9801937706913741,22049,0.6037
41,120.0,170.0,0.9797036738060285,22521,0.0526
42,245.0,171.78571428571428,0.9792138219691255,23343,0.6907
43,85.0,169.7674418604651,0.978724215058141,23808,0.9596
44,105.0,168.29545454545453,0.978234852950612,24265,0.8125
45,85.0,166.44444444444446,0.9777457355241367,24740,0.2963
46,120.0,165.43478260869566,0.9772568626563747,25146,1.0037
47,110.0,164.25531914893617,0.9767682342250465,25686,0.3983
48,310.0,167.29166666666666,0.976279850107934,26247,0.1658
49,65.0,165.20408163265307,0.9757917101828801,26652,0.1096
50,90.0,163.7,0.9753038143277888,26942,1.3372
51,185.0,164.11764705882354,0.974816162420625,27536,0.1678
52,225.0,165.28846153846155,0.9743287543394147,28190,0.1125
