episode,score,clipped_reward,average_score,epsilon,steps,loss
1,465.0,18.0,465.0,1.0000,956,N/A
2,110.0,7.0,287.5,0.9999,1343,N/A
3,180.0,11.0,251.7,0.9998,1857,N/A
4,535.0,22.0,322.5,0.9997,2757,N/A
5,370.0,25.0,332.0,0.9996,3698,N/A
6,315.0,9.0,329.2,0.9995,4243,N/A
7,85.0,6.0,294.3,0.9994,4616,N/A
8,60.0,4.0,265.0,0.9993,5071,N/A
9,65.0,6.0,242.8,0.9992,5373,N/A
10,155.0,10.0,234.0,0.9991,5832,N/A
11,425.0,14.0,251.4,0.9991,6499,N/A
12,110.0,7.0,239.6,0.9990,6834,N/A
13,85.0,6.0,227.7,0.9989,7180,N/A
14,210.0,12.0,226.4,0.9988,7771,N/A
15,410.0,13.0,238.7,0.9987,8386,N/A
16,205.0,14.0,236.6,0.9986,9304,N/A
17,90.0,5.0,227.9,0.9985,9765,N/A
18,320.0,19.0,233.1,0.9984,10738,0.042657
19,210.0,12.0,231.8,0.9983,11359,0.007556
20,180.0,11.0,229.2,0.9982,11812,0.001340
21,105.0,6.0,223.3,0.9981,12288,0.001142
22,55.0,4.0,215.7,0.9980,12661,0.001848
23,135.0,9.0,212.2,0.9979,13129,0.020778
24,30.0,3.0,204.6,0.9978,13397,0.000850
25,210.0,12.0,204.8,0.9977,14088,0.001007
26,90.0,7.0,200.4,0.9976,14416,0.014476
27,80.0,7.0,195.9,0.9975,14876,0.014703
28,225.0,13.0,197.0,0.9974,15573,0.000708
29,105.0,6.0,193.8,0.9973,16045,0.020208
30,135.0,7.0,191.8,0.9973,16617,0.012173
31,695.0,22.0,208.1,0.9972,17484,0.001159
32,155.0,10.0,206.4,0.9971,18079,0.003577
33,110.0,9.0,203.5,0.9970,18447,0.000815
34,155.0,10.0,202.1,0.9969,18934,0.004262
35,100.0,10.0,199.1,0.9968,19430,0.002199
36,275.0,18.0,201.2,0.9967,20208,0.003834
37,5.0,1.0,195.9,0.9966,20462,0.004349
38,35.0,4.0,191.7,0.9965,20739,0.010123
39,150.0,9.0,190.6,0.9964,21331,0.001099
40,135.0,9.0,189.2,0.9963,21779,0.001165
41,105.0,6.0,187.2,0.9962,22293,0.001539
42,120.0,8.0,185.6,0.9961,22706,0.004632
43,105.0,6.0,183.7,0.9960,23204,0.001539
44,85.0,7.0,181.5,0.9959,23684,0.001901
45,75.0,5.0,179.1,0.9958,23981,0.002512
